Paper Title,Year,Author,Publication,Url of paper,Source url
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classifying season long livestock grazing behavior with the use of a low-cost GPS and accelerometer,2021,J Brennan  P Johnson,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169920331628,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Assessing the effects of sampling frequency on behavioural classification of accelerometer data,2019,JL Hounslow  LR Brewster,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022098118304325,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Love thy neighbour: automatic animal behavioural classification of acceleration data using the k-nearest neighbour algorithm,2014,OR Bidder  HA Campbell,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088609,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Using a three-axis accelerometer to identify and classify sheep behaviour at pasture,2016,FAP Alvarenga  I Borges,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159116301733,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Categorising sheep activity using a tri-axial accelerometer,2018,J Barwick  DW Lamb,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169917311468,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Predicting livestock behaviour using accelerometers: A systematic review of processing techniques for ruminant behaviour prediction from raw accelerometer …,2022,L Riaboff  L Shalloo,Elsevier,https://www.sciencedirect.com/science/article/pii/S016816992100627X,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+behaviour%20classification+classification%20algorithm+animal+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
